Location Type Code,Location Type Desc,Location Code,Location desc,Location Name,Address,Phone,Notes,Lat,Lon
"COOL_LOCN","Cooling Location","LIBRARY","Library","Agincourt","155 Bonis Ave","416-396-8943","","43.786126","-79.291554"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Agincourt RC","31 Glen Watford Dr","416-395-4037","","43.788047","-79.276244"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Albert Campbell","496 Birchmount Rd","416-396-8890","","43.708233","-79.268637"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Albion","1515 Albion Rd","416-394-5170","","43.739821","-79.583958"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Alderwood","2 Orianna Dr","416-394-5310","","43.601512","-79.546536"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Amesbury CC","1507 Lawrence Ave W","416-395-0145","","43.706965","-79.48234"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Amesbury Park","1565 Lawrence Ave W","416-395-5420","","43.706481","-79.485912"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Ancaster CC","41 Ancaster Rd","416-395-6057","","43.73248","-79.465865"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Annette CRC","333 Annette St","416-392-0736","","43.661391","-79.474422"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Antibes CC","140 Antibes Dr","416-395-0475","","43.781149","-79.446999"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Armour Heights ","2140 Avenue Rd","416-395-5430","","43.739596","-79.421614"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Armour Heights CC","2140 Avenue Rd","416-395-7848","","43.739596","-79.421614"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Banbury CC","120 Banbury Rd","416-395-6101","","43.74353","-79.368533"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Barbara Frum CC","20 Covington Rd","416-395-6122","","43.720579","-79.432102"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Bayview (Bayview Village Shopping Centre)","2901 Bayview Ave, U-123","416-395-5460","","43.76887","-79.385625"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Beaches","2161 Queen St E","416-393-7703","","43.670433","-79.298142"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Beaches RC","6 Williamson Rd","416-392-0740","","43.673669","-79.299123"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Bedford Park CC","81 Ranleigh Ave","416-395-7848","","43.728084","-79.400253"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Bendale","1515 Danforth Rd","416-396-8910","","43.751269","-79.244401"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Birchmount CC","93 Birchmount Rd","416-396-4311","","43.694508","-79.262919"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Birkdale CC","1299 Ellesmere Rd","416-396-4069","","43.769277","-79.264968"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Black Creek (North York Sheridan Mall)","1700 Wilson Av","416-395-5470","","43.721257","-79.511994"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Bloor/Gladstone","1101 Bloor St W","416-393-7674","","43.659897","-79.434097"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Bridlewood (Bridlewood Mall)","2900 Warden Ave","416-396-8960","","43.798293","-79.318355"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Broadlands CC","19 Castlegrove Blvd","416-395-7966","","43.746084","-79.323049"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Brookbanks","210 Brookbanks Dr","416-395-5480","","43.760064","-79.324701"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Burrows Hall","1081 Progress Ave","416-396-8740","","43.793948","-79.234225"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Burrows Hall CC","1081 Progress Ave","416-396-4670","","43.793948","-79.234225"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Carmine Stefano CC","3100 Weston Rd","416-395-6127","","43.733802","-79.538269"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Cedarbrae","545 Markham Rd","416-396-8850","","43.757837","-79.224628"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Cedarbrook CC","91 Eastpark Blvd","416-396-4028","","43.75562","-79.227455"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Centennial","578 Finch Ave W","416-395-5490","","43.773027","-79.449601"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Centennial RC","1967 Ellesmere Rd","416-396-4057","","43.775498","-79.236204"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Centennial RC -  Etobicoke/York","2694 Eglinton Ave W","416-394-2476","","43.689924","-79.47845"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Chalkfarm CC","180 Chalkfarm Dr","416-395-7802","","43.724491","-79.51215"
"COOL_LOCN","Cooling Location","LIBRARY","Library","City Hall (Nathan Phillips Square)","100 Queen St W","416-393-7650","","43.653423","-79.384165"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Cliffcrest (Cliffcrest Plaza)","3017 Kingston Rd","416-396-8916","","43.725971","-79.231322"
"COOL_LOCN","Cooling Location","LIBRARY","Library","College/Shaw","766 College St","416-393-7668","","43.654929","-79.420209"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Cummer Park CC","6000 Leslie St","416-395-7803","","43.800782","-79.370593"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Curran Hall CC","277 Orton Park Rd","416-396-5156","","43.79291","-79.126003"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Danforth/Coxwell","1675 Danforth Ave","416-393-7783","","43.683895","-79.321187"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Davenport","1246 Shaw St","416-393-7732","","43.674604","-79.428379"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Dawes Road","416 Dawes Rd","416-396-3820","","43.701331","-79.296935"
"COOL_LOCN","Cooling Location","LIBRARY","Library","Deer Park","40 St. Clair Ave E","416-393-7657","","43.688481","-79.392212"
"COOL_LOCN","Cooling Location","COMM_CNTR","Community Centre","Dennis R Timbrell RC","29 St. Dennis Dr","416-395-7972","","43.718039","-79.331626"
